"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	500			1235,237	1605,81		88,254  	0,008 		5,566		6358,24
	525			1229,284	1598,07		88,253  	0,008 		5,553		6353,08
	550			1223,333	1590,33		88,253  	0,008 		5,540		6347,91
	575			1217,384	1582,60		88,252  	0,008 		5,527		6342,74
	600			1211,436	1574,87		88,2511		0,008 		5,514		6337,52
	625			1205,491	1567,14		88,251  	0,008 		5,501		6332,27
	650			1199,547	1559,41		88,250  	0,008 		5,488		6327,01
	675			1193,606	1551,69		88,250  	0,008 		5,475		6321,68
	700			1187,666	1543,97		88,249  	0,008 		5,462		6316,31
	725			1181,728	1536,25		88,248  	0,008 		5,449		6310,90
	750			1175,793	1528,53		88,248  	0,008 		5,435		6305,47
	775			1169,859	1520,82		88,2471		0,008 		5,422		6300,03
	800			1163,927	1513,11		88,247  	0,008 		5,409		6294,57
	825			1157,997	1505,40		88,2461		0,008 		5,396		6289,10
	850			1152,070	1497,69		88,246  	0,008 		5,383		6283,62
	875			1146,144	1489,99		88,245  	0,008 		5,370		6278,09
	900			1140,220	1482,29		88,244  	0,008 		5,357		6272,54
	925			1134,299	1474,59		88,244  	0,008 		5,344		6266,99
	950			1128,379	1466,89		88,2431		0,008 		5,331		6261,42
	975			1122,462	1459,20		88,243  	0,008 		5,318		6255,79
	1000		1116,546	1451,51		88,242  	0,008 		5,305		6250,15
	1025		1110,633	1443,82		88,242  	0,008 		5,291		6244,50
	1050		1104,722	1436,14		88,241  	0,008 		5,278		6238,81
	1075		1098,813	1428,46		88,241  	0,008 		5,265		6233,06
	1100		1092,906	1420,78		88,240  	0,008 		5,252		6227,27
	1125		1087,000	1413,10		88,239  	0,008 		5,239		6221,46
	1150		1081,098	1405,43		88,239  	0,008 		5,226		6215,63
	1175		1075,197	1397,76		88,238  	0,008 		5,213		6209,75
