TRIM 0.0
Displacement
	0-30	30-40	0-40	MaxGz25	KGGM015	KGGM030	KGmax
40	15.976	9.038	12.990	1.787	131.668	131.518	1.787
50	15.770	8.995	12.853	1.998	107.749	107.599	1.998
60	14.837	8.955	12.302	2.199	91.806	91.656	2.199
70	14.687	8.917	12.200	2.399	80.421	80.271	2.399
80	14.579	8.881	12.123	2.620	71.885	71.735	2.620
90	14.104	8.846	11.836	2.828	65.247	65.097	2.828
100	13.981	8.813	11.751	3.013	59.939	59.789	3.013
110	13.864	8.781	11.671	3.180	55.597	55.447	3.180
120	13.521	8.751	11.461	3.326	51.981	51.831	3.326
130	13.420	8.721	11.391	3.456	48.922	48.772	3.456
140	13.024	8.693	11.152	3.573	46.301	46.151	3.573
150	12.976	8.665	11.112	3.676	44.031	43.881	3.676
160	12.974	8.638	11.100	3.769	42.046	41.896	3.769
170	12.887	8.612	11.039	3.852	40.296	40.146	3.852
180	12.803	8.587	10.980	3.927	38.741	38.591	3.927
190	12.722	8.562	10.923	3.996	37.350	37.200	3.996
200	12.643	8.538	10.867	4.058	36.100	35.950	4.058
210	12.566	8.514	10.813	4.113	34.755	34.605	4.113
220	12.492	8.491	10.761	4.164	33.501	33.351	4.164
230	12.419	8.468	10.709	4.209	32.357	32.207	4.209
240	12.349	8.445	10.659	4.250	31.309	31.159	4.250
250	12.280	8.423	10.610	4.286	30.346	30.196	4.286
260	12.212	8.402	10.562	4.316	29.457	29.307	4.316
270	12.146	8.380	10.515	4.341	28.635	28.485	4.341
280	12.081	8.359	10.469	4.362	27.872	27.722	4.362
290	12.018	8.338	10.424	4.382	27.163	27.013	4.382
300	11.955	8.317	10.379	4.399	26.501	26.351	4.399
310	11.894	8.297	10.336	4.414	25.882	25.732	4.414
320	11.834	8.277	10.293	4.429	25.303	25.153	4.429
330	11.775	8.258	10.251	4.442	24.759	24.609	4.442
340	11.718	8.238	10.209	4.455	24.248	24.098	4.455
350	11.661	8.219	10.169	4.468	23.766	23.616	4.468
360	11.605	8.200	10.129	4.480	23.312	23.162	4.480
370	11.550	8.182	10.089	4.491	22.882	22.732	4.491
380	11.496	8.163	10.051	4.503	22.476	22.326	4.503
390	11.443	8.145	10.012	4.514	22.091	21.941	4.514
400	11.391	8.127	9.975	4.525	21.698	21.548	4.525
410	11.339	8.109	9.937	4.536	21.301	21.151	4.536
420	11.289	8.091	9.901	4.547	20.924	20.774	4.547
430	11.239	8.073	9.864	4.558	20.564	20.414	4.558
440	11.189	8.055	9.829	4.569	20.221	20.071	4.569
450	11.141	8.038	9.794	4.580	19.894	19.744	4.580
460	11.094	8.021	9.759	4.591	19.581	19.431	4.591
470	11.047	8.004	9.725	4.602	19.282	19.132	4.602
480	11.001	7.987	9.692	4.613	18.996	18.846	4.613
490	10.955	7.971	9.659	4.625	18.722	18.572	4.625
500	10.910	7.955	9.626	4.636	18.459	18.309	4.636
510	10.866	7.939	9.594	4.648	18.206	18.056	4.648
520	10.822	7.923	9.562	4.659	17.964	17.814	4.659
530	10.779	7.908	9.531	4.671	17.731	17.581	4.671
540	10.737	7.893	9.500	4.683	17.507	17.357	4.683
550	10.694	7.878	9.469	4.695	17.291	17.141	4.695
560	10.653	7.863	9.439	4.707	17.084	16.934	4.707
570	10.611	7.849	9.409	4.720	16.884	16.734	4.720
580	10.570	7.834	9.380	4.732	16.691	16.541	4.732
590	10.530	7.820	9.351	4.745	16.505	16.355	4.745
600	10.490	7.806	9.322	4.757	16.325	16.175	4.757
610	10.450	7.793	9.293	4.770	16.134	15.984	4.770
620	10.411	7.779	9.265	4.782	15.944	15.794	4.782
630	10.371	7.766	9.236	4.796	15.761	15.611	4.796
640	10.333	7.752	9.209	4.809	15.584	15.434	4.809
650	10.294	7.739	9.181	4.822	15.412	15.262	4.822
660	10.256	7.727	9.154	4.835	15.246	15.096	4.835
670	10.218	7.714	9.127	4.848	15.085	14.935	4.848
680	10.181	7.702	9.100	4.862	14.929	14.779	4.862
690	10.143	7.690	9.073	4.875	14.778	14.628	4.875
700	10.106	7.678	9.047	4.889	14.631	14.481	4.889
710	10.070	7.666	9.021	4.902	14.489	14.339	4.902
720	10.033	7.654	8.995	4.916	14.351	14.201	4.916
730	9.997	7.643	8.970	4.930	14.217	14.067	4.930
740	9.962	7.631	8.944	4.944	14.086	13.936	4.944
750	9.926	7.620	8.919	4.958	13.960	13.810	4.958
760	9.891	7.609	8.895	4.971	13.836	13.686	4.971
770	9.857	7.598	8.870	4.986	13.717	13.567	4.986
780	9.822	7.587	8.846	5.000	13.600	13.450	5.000
790	9.788	7.577	8.822	5.014	13.487	13.337	5.014
800	9.754	7.566	8.798	5.028	13.377	13.227	5.028
810	9.720	7.556	8.774	5.043	13.269	13.119	5.043
820	9.687	7.546	8.751	5.057	13.164	13.014	5.057
830	9.654	7.536	8.728	5.072	13.050	12.900	5.072
840	9.621	7.526	8.705	5.086	12.938	12.788	5.086
850	9.589	7.516	8.682	5.101	12.830	12.680	5.101
860	9.557	7.507	8.659	5.116	12.724	12.574	5.116
870	9.525	7.497	8.637	5.130	12.620	12.470	5.130
880	9.493	7.488	8.615	5.145	12.520	12.370	5.145
890	9.462	7.479	8.593	5.160	12.421	12.271	5.160
900	9.431	7.470	8.571	5.174	12.325	12.175	5.174
910	9.400	7.461	8.550	5.189	12.232	12.082	5.189
920	9.370	7.452	8.529	5.204	12.140	11.990	5.204
930	9.339	7.443	8.508	5.219	12.051	11.901	5.219
940	9.309	7.434	8.487	5.234	11.963	11.813	5.234
950	9.280	7.426	8.466	5.249	11.878	11.728	5.249
960	9.250	7.417	8.445	5.264	11.794	11.644	5.264
970	9.221	7.409	8.425	5.279	11.713	11.563	5.279
980	9.192	7.401	8.405	5.294	11.633	11.483	5.294
990	9.163	7.392	8.385	5.309	11.555	11.405	5.309
1000	9.135	7.384	8.365	5.324	11.479	11.329	5.324
1010	9.106	7.376	8.346	5.339	11.404	11.254	5.339
1020	9.078	7.368	8.326	5.354	11.331	11.181	5.354
1030	9.050	7.361	8.307	5.369	11.260	11.110	5.369
1040	9.023	7.353	8.288	5.384	11.190	11.040	5.384
1050	8.995	7.345	8.269	5.399	11.118	10.968	5.399
1060	8.968	7.338	8.250	5.415	11.045	10.895	5.415
1070	8.941	7.330	8.231	5.430	10.973	10.823	5.430
1080	8.914	7.323	8.213	5.445	10.902	10.752	5.445
1090	8.887	7.316	8.194	5.460	10.833	10.683	5.460
1100	8.861	7.309	8.176	5.475	10.765	10.615	5.475
1110	8.835	7.302	8.158	5.490	10.699	10.549	5.490
1120	8.809	7.295	8.140	5.506	10.634	10.484	5.506
1130	8.783	7.288	8.123	5.521	10.570	10.420	5.521
1140	8.757	7.281	8.105	5.536	10.508	10.358	5.536
1150	8.732	7.274	8.087	5.551	10.446	10.296	5.551
1160	8.707	7.267	8.070	5.566	10.386	10.236	5.566
1170	8.682	7.261	8.053	5.581	10.327	10.177	5.581
1180	8.657	7.254	8.036	5.597	10.269	10.119	5.597
1190	8.632	7.247	8.019	5.612	10.213	10.063	5.612
1200	8.608	7.241	8.002	5.627	10.157	10.007	5.627
1210	8.583	7.235	7.986	5.642	10.102	9.952	5.642
1220	8.559	7.228	7.969	5.657	10.049	9.899	5.657
1230	8.535	7.222	7.953	5.672	9.996	9.846	5.672
1240	8.512	7.216	7.937	5.688	9.944	9.794	5.688
1250	8.488	7.210	7.921	5.703	9.894	9.744	5.703
1260	8.465	7.204	7.905	5.718	9.844	9.694	5.718
1270	8.442	7.198	7.889	5.733	9.795	9.645	5.733
1280	8.419	7.192	7.873	5.748	9.746	9.596	5.748
1290	8.396	7.186	7.858	5.763	9.698	9.548	5.763
1300	8.374	7.180	7.842	5.778	9.651	9.501	5.778
1310	8.351	7.174	7.827	5.793	9.604	9.454	5.793
1320	8.329	7.168	7.812	5.808	9.558	9.408	5.808
1330	8.307	7.163	7.797	5.823	9.512	9.362	5.823
1340	8.285	7.157	7.782	5.838	9.467	9.317	5.838
1350	8.263	7.152	7.767	5.853	9.423	9.273	5.853
1360	8.242	7.146	7.752	5.868	9.379	9.229	5.868
1370	8.220	7.140	7.737	5.883	9.336	9.186	5.883
1380	8.199	7.135	7.723	5.898	9.293	9.143	5.898
1390	8.178	7.130	7.709	5.912	9.251	9.101	5.912
1400	8.157	7.124	7.694	5.927	9.209	9.059	5.927
1410	8.136	7.119	7.680	5.942	9.168	9.018	5.942
1420	8.116	7.114	7.666	5.957	9.127	8.977	5.957
1430	8.096	7.108	7.652	5.971	9.087	8.937	5.971
1440	8.075	7.103	7.639	5.986	9.048	8.898	5.986
1450	8.055	7.098	7.625	6.000	9.009	8.859	6.000
1460	8.035	7.093	7.611	6.015	8.970	8.820	6.015
1470	8.016	7.088	7.598	6.029	8.931	8.781	6.029
1480	7.996	7.083	7.584	6.044	8.894	8.744	6.044
1490	7.976	7.078	7.571	6.058	8.857	8.707	6.058
1500	7.957	7.073	7.558	6.072	8.820	8.670	6.072
1510	7.938	7.068	7.545	6.087	8.784	8.634	6.087
1520	7.919	7.063	7.532	6.101	8.748	8.598	6.101
1530	7.900	7.058	7.519	6.115	8.713	8.563	6.115
1540	7.881	7.053	7.506	6.129	8.678	8.528	6.129
1550	7.863	7.048	7.493	6.143	8.643	8.493	6.143
1560	7.844	7.044	7.481	6.157	8.609	8.459	6.157
1570	7.826	7.039	7.468	6.171	8.575	8.425	6.171
1580	7.808	7.034	7.456	6.185	8.542	8.392	6.185
1590	7.790	7.030	7.444	6.199	8.510	8.360	6.199
1600	7.772	7.025	7.431	6.213	8.477	8.327	6.213
1610	7.754	7.020	7.419	6.227	8.446	8.296	6.227
1620	7.737	7.016	7.407	6.240	8.414	8.264	6.240
1630	7.719	7.011	7.395	6.254	8.382	8.232	6.254
1640	7.702	7.006	7.383	6.267	8.352	8.202	6.267
1650	7.685	7.002	7.371	6.281	8.321	8.171	6.281
1660	7.668	6.997	7.360	6.294	8.291	8.141	6.294
1670	7.651	6.993	7.348	6.308	8.262	8.112	6.308
1680	7.634	6.988	7.337	6.321	8.233	8.083	6.321
1690	7.617	6.984	7.325	6.335	8.204	8.054	6.335
1700	7.601	6.979	7.314	6.348	8.176	8.026	6.348
1710	7.585	6.974	7.302	6.361	8.148	7.998	6.361
1720	7.568	6.970	7.291	6.374	8.119	7.969	6.374
1730	7.552	6.965	7.280	6.387	8.091	7.941	6.387
1740	7.536	6.961	7.269	6.400	8.064	7.914	6.400
1750	7.520	6.957	7.258	6.413	8.038	7.888	6.413
1760	7.505	6.952	7.247	6.426	8.011	7.861	6.426
1770	7.489	6.948	7.236	6.439	7.985	7.835	6.439
1780	7.474	6.943	7.226	6.452	7.959	7.809	6.452
1790	7.458	6.939	7.215	6.465	7.934	7.784	6.465
1800	7.443	6.934	7.204	6.477	7.909	7.759	6.477
1810	7.428	6.930	7.194	6.490	7.883	7.733	6.490
1820	7.413	6.925	7.183	6.502	7.858	7.708	6.502
1830	7.398	6.921	7.173	6.515	7.834	7.684	6.515
1840	7.384	6.916	7.163	6.527	7.810	7.660	6.527
1850	7.369	6.912	7.152	6.539	7.787	7.637	6.539
1860	7.355	6.907	7.142	6.552	7.763	7.613	6.552
1870	7.340	6.903	7.132	6.564	7.740	7.590	6.564
1880	7.326	6.899	7.122	6.576	7.717	7.567	6.576
1890	7.312	6.894	7.112	6.588	7.695	7.545	6.588
1900	7.298	6.890	7.102	6.600	7.672	7.522	6.600
1910	7.284	6.885	7.092	6.611	7.649	7.499	6.611
1920	7.270	6.881	7.082	6.623	7.628	7.478	6.623
1930	7.257	6.876	7.073	6.635	7.606	7.456	6.635
1940	7.243	6.872	7.063	6.647	7.585	7.435	6.647
1950	7.230	6.868	7.054	6.658	7.564	7.414	6.658
1960	7.216	6.863	7.044	6.670	7.543	7.393	6.670
1970	7.203	6.859	7.035	6.681	7.522	7.372	6.681
1980	7.190	6.854	7.025	6.692	7.502	7.352	6.692
1990	7.177	6.850	7.016	6.703	7.482	7.332	6.703
2000	7.164	6.845	7.007	6.715	7.462	7.312	6.715
2010	7.151	6.841	6.997	6.726	7.443	7.293	6.726
2020	7.139	6.837	6.988	6.736	7.422	7.272	6.736
2030	7.126	6.832	6.979	6.747	7.403	7.253	6.747
2040	7.113	6.828	6.970	6.758	7.384	7.234	6.758
2050	7.101	6.823	6.961	6.768	7.366	7.216	6.768
2060	7.089	6.819	6.952	6.779	7.347	7.197	6.779
2070	7.077	6.814	6.943	6.789	7.329	7.179	6.789
2080	7.064	6.810	6.934	6.799	7.311	7.161	6.799
2090	7.053	6.805	6.926	6.809	7.293	7.143	6.805
2100	7.041	6.801	6.917	6.819	7.275	7.125	6.801
2110	7.029	6.796	6.908	6.828	7.258	7.108	6.796
2120	7.017	6.792	6.900	6.838	7.241	7.091	6.792
2130	7.006	6.787	6.891	6.847	7.223	7.073	6.787
2140	6.994	6.783	6.882	6.856	7.206	7.056	6.783
2150	6.983	6.778	6.874	6.865	7.189	7.039	6.778
2160	6.971	6.774	6.866	6.874	7.173	7.023	6.774
2170	6.960	6.769	6.857	6.883	7.156	7.006	6.769
2180	6.949	6.765	6.849	6.892	7.140	6.990	6.765
2190	6.938	6.760	6.841	6.900	7.124	6.974	6.760
2200	6.927	6.756	6.832	6.908	7.109	6.959	6.756
2210	6.916	6.751	6.824	6.916	7.093	6.943	6.751
2220	6.905	6.746	6.816	6.924	7.078	6.928	6.746
2230	6.895	6.742	6.808	6.931	7.063	6.913	6.742
2240	6.884	6.737	6.800	6.939	7.048	6.898	6.737
2250	6.873	6.733	6.792	6.946	7.032	6.882	6.733
2260	6.863	6.728	6.784	6.953	7.017	6.867	6.728
2270	6.853	6.724	6.776	6.960	7.003	6.853	6.724
2280	6.842	6.719	6.768	6.967	6.988	6.838	6.719
2290	6.832	6.714	6.760	6.974	6.974	6.824	6.714
2300	6.822	6.710	6.753	6.980	6.960	6.810	6.710
2310	6.812	6.705	6.745	6.986	6.946	6.796	6.705
2320	6.802	6.700	6.737	6.992	6.933	6.783	6.700
2330	6.792	6.696	6.730	6.998	6.919	6.769	6.696
2340	6.783	6.691	6.722	7.004	6.906	6.756	6.691
2350	6.773	6.686	6.715	7.009	6.893	6.743	6.686
2360	6.763	6.682	6.707	7.014	6.880	6.730	6.682
2370	6.754	6.677	6.700	7.020	6.867	6.717	6.677
2380	6.744	6.672	6.692	7.024	6.853	6.703	6.672
2390	6.735	6.668	6.685	7.029	6.841	6.691	6.668
2400	6.726	6.663	6.678	7.034	6.828	6.678	6.663
2410	6.717	6.658	6.670	7.038	6.816	6.666	6.658
2420	6.707	6.654	6.663	7.042	6.804	6.654	6.654
2430	6.698	6.649	6.656	7.046	6.792	6.642	6.642
2440	6.689	6.644	6.649	7.050	6.780	6.630	6.630
2450	6.681	6.640	6.642	7.054	6.768	6.618	6.618
2460	6.672	6.635	6.635	7.057	6.756	6.606	6.606
2470	6.663	6.630	6.628	7.060	6.745	6.595	6.595
2480	6.654	6.625	6.621	7.064	6.733	6.583	6.583
2490	6.646	6.621	6.614	7.066	6.722	6.572	6.572
2500	6.637	6.616	6.607	7.069	6.711	6.561	6.561
2510	6.629	6.611	6.600	7.072	6.700	6.550	6.550
2520	6.620	6.606	6.593	7.074	6.689	6.539	6.539
2530	6.612	6.602	6.586	7.076	6.678	6.528	6.528
2540	6.604	6.597	6.580	7.078	6.667	6.517	6.517
2550	6.596	6.592	6.573	7.080	6.657	6.507	6.507
